Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Callee","__build_class__","email.errors.InvalidBase64PaddingDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.InvalidHeaderDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.InvalidMultipartContentTransferEncodingDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.MessageDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.MessageError",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.MessageParseError",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.MisplacedEnvelopeHeaderDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.MissingHeaderBodySeparatorDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.MultipartConversionError",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.MultipartInvariantViolationDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.NoBoundaryInMultipartDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.NonASCIILocalPartDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.NonPrintableDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.ObsoleteHeaderDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.StartBoundaryNotFoundDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.UndecodableBytesDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.feedparser.BufferedSubFile",1,0.00,0.00,0.00,0.00,"feedparser.py",
"Callee","__build_class__","email.feedparser.BytesFeedParser",1,0.00,0.00,0.00,0.00,"feedparser.py",
"Callee","__build_class__","email.feedparser.FeedParser",1,0.00,0.00,0.00,0.00,"feedparser.py",
"Callee","__build_class__","email.header._Accumulator",1,0.00,0.00,0.00,0.00,"header.py",
"Callee","__build_class__","email.header._ValueFormatter",1,0.00,0.00,0.00,0.00,"header.py",
"Callee","__build_class__","email.header.Header",1,0.00,0.00,0.00,0.00,"header.py",
"Callee","__build_class__","email.message.EmailMessage",1,0.00,0.00,0.00,0.00,"message.py",
"Callee","__build_class__","email.message.Message",1,0.02,0.00,0.23,0.01,"message.py",
"Callee","__build_class__","email.message.MIMEPart",1,0.00,0.00,0.01,0.01,"message.py",
"Callee","__build_class__","email.parser.BytesHeaderParser",1,0.00,0.00,0.00,0.00,"parser.py",
"Callee","__build_class__","email.parser.BytesParser",1,0.00,0.00,0.00,0.00,"parser.py",
"Callee","__build_class__","email.parser.HeaderParser",1,0.00,0.00,0.00,0.00,"parser.py",
"Callee","__build_class__","email.parser.Parser",1,0.00,0.00,0.00,0.00,"parser.py",
"Callee","__build_class__","encodings.idna.Codec",1,0.00,0.00,0.00,0.00,"idna.py",
"Callee","__build_class__","encodings.idna.IncrementalDecoder",1,0.00,0.00,0.00,0.00,"idna.py",
"Callee","__build_class__","encodings.idna.IncrementalEncoder",1,0.00,0.00,0.00,0.00,"idna.py",
"Callee","__build_class__","encodings.idna.StreamReader",1,0.00,0.00,0.00,0.00,"idna.py",
"Callee","__build_class__","encodings.idna.StreamWriter",1,0.00,0.00,0.00,0.00,"idna.py",
"Callee","__build_class__","enum.__new__",8,0.06,0.03,0.10,0.05,"enum.py",
"Callee","__build_class__","enum.__prepare__",8,0.01,0.00,0.01,0.00,"enum.py",
"Callee","__build_class__","functools.cached_property.__set_name__",1,0.00,0.00,0.00,0.00,"functools.py",
"Callee","__build_class__","hmac.HMAC",1,0.00,0.00,0.01,0.01,"hmac.py",
"Callee","__build_class__","http.client.BadStatusLine",1,0.00,0.00,0.00,0.00,"client.py",
"Callee","__build_class__","http.client.CannotSendHeader",1,0.00,0.00,0.00,0.00,"client.py",
"Callee","__build_class__","http.client.CannotSendRequest",1,0.00,0.00,0.00,0.00,"client.py",
"Callee","__build_class__","http.client.HTTPConnection",1,0.00,0.00,0.00,0.00,"client.py",
"Callee","__build_class__","http.client.HTTPException",1,0.00,0.00,0.00,0.00,"client.py",
"Callee","__build_class__","http.client.HTTPMessage",1,0.00,0.00,0.00,0.00,"client.py",
"Callee","__build_class__","http.client.HTTPResponse",1,0.00,0.00,0.00,0.00,"client.py",
